study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp
PRJNA393472	SAMN07539668	SRX3130055	SRR5972728	1632839	human vaginal metagenome	bb25b10787038404863b83ced1ff18b5;894722adc81fa19fa2bec4066399f3cc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/008/SRR5972728/SRR5972728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/008/SRR5972728/SRR5972728_2.fastq.gz
PRJNA393472	SAMN07539669	SRX3130056	SRR5972729	1632839	human vaginal metagenome	0ab2577f0e3e7f81a4a94456a00d9f29;3e73bdde9a1163e2e6422314af6cc377	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/009/SRR5972729/SRR5972729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/009/SRR5972729/SRR5972729_2.fastq.gz
PRJNA393472	SAMN07539670	SRX3130057	SRR5972730	1632839	human vaginal metagenome	1408c036fd0c0e1bead035d907e3d5a9;8dc23cf95e7147aeece4401912abb742	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/000/SRR5972730/SRR5972730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/000/SRR5972730/SRR5972730_2.fastq.gz
PRJNA393472	SAMN07539671	SRX3130058	SRR5972731	1632839	human vaginal metagenome	dd8de45c0a8fade73d1ae91864e0cd10;7a6e77b37332f8d1cf7c511aed590665	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/001/SRR5972731/SRR5972731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/001/SRR5972731/SRR5972731_2.fastq.gz
PRJNA393472	SAMN07539672	SRX3130059	SRR5972732	1632839	human vaginal metagenome	84b589214044a48ec372d61db92d5666;ea952f0a555fce9f03c566369e4498b8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/002/SRR5972732/SRR5972732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/002/SRR5972732/SRR5972732_2.fastq.gz
PRJNA393472	SAMN07539683	SRX3130070	SRR5972743	1632839	human vaginal metagenome	2f80a2747828d154833de8ed161631fa;55582887bd833e6c936067cc1d420383	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/003/SRR5972743/SRR5972743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/003/SRR5972743/SRR5972743_2.fastq.gz
PRJNA393472	SAMN07539684	SRX3130071	SRR5972744	1632839	human vaginal metagenome	665b0143cb788eb695629cbee8b9e644;aa1465e64fedea9f9fbfe2e9b3478fa6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/004/SRR5972744/SRR5972744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/004/SRR5972744/SRR5972744_2.fastq.gz
PRJNA393472	SAMN07539685	SRX3130072	SRR5972745	1632839	human vaginal metagenome	ef25aa2c1c620e9b1830eaa8757fecdd;e6d9e488d1cd7679b5fd956dfdfda6fe	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/005/SRR5972745/SRR5972745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/005/SRR5972745/SRR5972745_2.fastq.gz
PRJNA393472	SAMN07539686	SRX3130073	SRR5972746	1632839	human vaginal metagenome	c6fe2f3f1972a19c948b9f6f4294187d;461533d7b57a6e42680317bf51c8de70	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/006/SRR5972746/SRR5972746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/006/SRR5972746/SRR5972746_2.fastq.gz
PRJNA393472	SAMN07539690	SRX3130077	SRR5972750	1632839	human vaginal metagenome	b23acf9fc04bcc48a0270d2d5e3a2e3a;4439ee022f1ba54d52cd4c1340068c39	ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/000/SRR5972750/SRR5972750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR597/000/SRR5972750/SRR5972750_2.fastq.gz
